EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-998.404	200.0	0.00455727	-1.11238	-1.80241116625	-1.62566297406	520000
-1066.48	200.0	0.0010441	-1.11197	-1.28903617864	-1.41227809645	522600
-989.716	200.0	0.000422359	-1.11021	-1.5706400534	-1.50053750883	525200
-1051.66	200.0	0.000507527	-1.10794	-1.64859076144	-1.66698901142	527800
-1125.75	200.0	0.00305667	-1.10463	-1.14955699546	-1.2055020237	530400
-1101.99	200.0	0.00225665	-1.10137	-1.04459612922	-0.935640718282	533000
-1047.79	200.0	0.00154779	-1.09886	-1.0162729229	-1.17150324401	535600
-1160.24	200.0	0.00193829	-1.09539	-1.22411452918	-1.29481618114	538200
-1071.08	200.0	0.00152046	-1.08926	-1.38731279171	-1.16571696946	540800
-1036.64	200.0	0.00128378	-1.08563	-1.17431776687	-1.06858536214	543400
-1167.82	200.0	0.00041212	-1.08069	-0.726713673598	-0.786037330045	546000
-1095.11	200.0	0.00162147	-1.07688	-0.988436899645	-1.09651273585	548600
-1055.52	200.0	0.00111327	-1.07653	-1.23445335846	-1.31000132674	551200
-1065.99	200.0	0.00162506	-1.07882	-1.29150016808	-1.08881966783	553800
-1228.04	200.0	0.00180467	-1.08234	-0.601352838087	-0.603476864534	556400
-1190.61	200.0	0.00263968	-1.08118	-0.784352173901	-0.792660700297	559000
-1132.95	200.0	0.00404837	-1.08244	-0.90307510802	-0.925839427893	561600
-1076.99	200.0	0.00170657	-1.08121	-0.941606433145	-1.08977270032	564200
-1099.72	200.0	0.000414723	-1.07902	-1.10065780196	-1.26362969904	566800
-1140.62	200.0	0.000590019	-1.07316	-1.07700815213	-0.859822304453	569400
-975.413	200.0	0.00851011	-1.06617	-1.37086048206	-1.23304249315	572000
-1072.23	200.0	0.00439651	-1.06139	-1.15327278582	-1.50327556537	574600
-1151.34	200.0	0.000852327	-1.05991	-1.24856501995	-1.01563778545	577200
-1041.18	200.0	0.00394612	-1.05508	-1.15805913256	-1.0789220101	579800
-1078.99	200.0	0.00208934	-1.05111	-1.17815403487	-1.55926272782	582400
-1059.31	200.0	0.0100212	-1.04814	-1.3491896762	-1.09728132107	585000
-989.237	200.0	0.00491028	-1.04471	-1.19073787877	-1.40400335899	587600
-1128.33	200.0	0.00283723	-1.04237	-0.895407088222	-0.792205053111	590200
-1163.79	200.0	0.000814736	-1.04078	-0.705375710061	-0.652935998471	592800
-1097.7	200.0	0.00162258	-1.03806	-1.05882281187	-1.70099183868	595400
-1235.79	200.0	0.00209071	-1.03741	-0.808335424235	-0.631228964379	598000
-1217.95	200.0	0.00329295	-1.03864	-0.590624541439	-0.683733454699	600600
-1109.68	200.0	0.00455178	-1.03883	-0.920394862074	-0.812294869537	603200
-1055.7	200.0	0.00391213	-1.03972	-0.907170982815	-1.2598316069	605800
-1121.53	200.0	0.00783615	-1.03974	-1.21360489674	-1.01355256539	608400
-1103.74	200.0	0.00396787	-1.03966	-1.23476200698	-1.17464963554	611000
-1102.21	200.0	0.00159474	-1.04026	-1.09279280768	-1.18905529584	613600
-1165.57	200.0	0.00224072	-1.04054	-1.19519750311	-1.26785466575	616200
-1108.42	200.0	0.00246503	-1.04088	-1.55169872731	-1.34161861811	618800
-1043.48	200.0	0.00355613	-1.04119	-2.29736088759	-2.01783155389	621400
-1060.27	200.0	0.00269494	-1.04079	-1.46133909769	-1.42309597385	624000
-1135.91	200.0	0.00102842	-1.04181	-1.24674053709	-1.24231460927	626600
-1160.89	200.0	0.00164692	-1.04363	-2.604861204	-2.20085664827	629200
-1155.46	200.0	0.000507399	-1.04572	-2.4880546731	-2.53504223204	631800
-1159.75	200.0	0.000624117	-1.04725	-1.45670278827	-1.41546632365	634400
-1130.45	200.0	0.00171583	-1.04894	-1.61965669335	-1.54785281986	637000
